 userid |   ddate    | tpos | lengthh 
    495 | 2014-02-21 |   86 |      13
    496 | 2014-02-10 |   15 |      19
    497 | 2014-02-25 |  142 |      18
    498 | 2014-02-13 |   43 |      17
    499 | 2014-02-25 |  139 |      13
    500 | 2014-02-19 |  110 |      14
    500 | 2014-02-13 |   48 |      14
    501 | 2014-02-19 |  108 |      17
    501 | 2014-02-09 |    5 |      17
    502 | 2014-02-18 |   81 |      15
    503 | 2014-02-17 |   91 |      15
    504 | 2014-02-11 |   25 |      17
    505 | 2014-02-27 |  157 |      16
    506 | 2014-02-24 |  160 |      16
    507 | 2014-02-13 |   42 |      16
    508 | 2014-02-11 |   26 |      19
    509 | 2014-02-23 |  151 |      16
    510 | 2014-02-27 |  172 |      15
    511 | 2014-02-26 |  165 |      16
    512 | 2014-02-12 |   21 |      13
    513 | 2014-02-17 |   91 |      17
    514 | 2014-02-23 |  136 |      13
    514 | 2014-02-19 |   99 |      13
    514 | 2014-02-17 |   78 |      13
    514 | 2014-02-11 |   18 |      13
    515 | 2014-02-13 |   31 |      15
    516 | 2014-02-15 |   72 |      13
    516 | 2014-02-09 |   10 |      13
    517 | 2014-02-10 |   20 |      13
    518 | 2014-02-17 |   89 |      15
    519 | 2014-02-15 |   65 |      14
    520 | 2014-02-12 |   37 |      16
    521 | 2014-02-18 |   95 |      14
    521 | 2014-02-22 |  134 |      14
    522 | 2014-02-25 |  156 |      16
    523 | 2014-02-15 |   66 |      17
    524 | 2014-02-20 |  123 |      17
    525 | 2014-02-09 |    7 |      15
    526 | 2014-02-17 |   84 |      14
    527 | 2014-02-15 |   65 |      15
    528 | 2014-02-16 |   72 |      16
    529 | 2014-02-27 |  183 |      17
    530 | 2014-02-12 |   44 |      19
